,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
201,souillac,75,MU,1587176364,83,-20.52,57.52,75.2,8.05
202,kaitangata,96,NZ,1587176623,82,-46.28,169.85,55.99,23.0
203,gumla,0,IN,1587177176,19,23.05,84.55,91.42,5.12
204,lompoc,90,US,1587176910,82,34.64,-120.46,57.2,3.36
205,saurimo,100,AO,1587177176,72,-9.66,20.39,65.59,5.14
206,sola,89,VU,1587176658,75,-13.88,167.55,82.06,9.42
207,yerbogachen,85,RU,1587177122,84,61.28,108.01,21.92,10.89
208,praia,20,CV,1587176625,68,14.92,-23.51,71.6,16.11
209,nome,90,US,1587176355,100,64.5,-165.41,35.6,12.75
210,willowmore,67,ZA,1587177045,67,-33.29,23.49,51.53,9.31
211,corinth,1,GR,1587177178,81,37.94,22.96,50.0,4.72
212,cape town,55,ZA,1587177002,81,-33.93,18.42,57.0,2.24
213,eyl,8,SO,1587177178,78,7.98,49.82,82.31,10.18
214,monte patria,0,CL,1587177178,51,-30.69,-70.95,63.61,0.98
215,norman wells,90,CA,1587176581,60,65.28,-126.83,39.2,2.24
216,hays,55,US,1587177038,97,30.05,-98.03,55.99,5.99
217,san rafael del sur,20,NI,1587177179,55,11.85,-86.44,87.8,11.41
218,payo,80,ID,1587177179,69,-3.75,103.64,85.71,1.43
219,semirom,0,IR,1587177179,36,31.42,51.57,41.43,2.17
220,taoudenni,37,ML,1587177028,23,22.68,-3.98,86.99,3.58
221,freeport,90,US,1587177050,65,40.66,-73.58,46.99,9.17
222,bulawayo,69,ZW,1587177181,57,-20.15,28.58,63.09,12.53
223,dikson,91,RU,1587176909,97,73.51,80.55,25.12,14.9
224,ojinaga,1,MX,1587177182,27,29.57,-104.42,77.0,14.99
225,avera,1,US,1587176595,77,33.19,-82.53,60.8,4.7
226,cockburn town,5,TC,1587177182,80,21.46,-71.14,78.96,17.63
227,sao geraldo do araguaia,99,BR,1587177183,92,-6.4,-48.55,72.7,4.09
228,san quintin,18,MX,1587177183,72,30.48,-115.95,59.04,11.77
229,lata,0,PT,1587177183,91,40.16,-8.33,55.0,2.48
230,tuatapere,34,NZ,1587177183,51,-46.13,167.68,60.01,10.0
231,winneba,20,GH,1587177183,88,5.35,-0.62,82.4,9.17
232,toora-khem,38,RU,1587177015,45,52.47,96.11,39.49,5.41
233,lyngdal,0,NO,1587177184,72,58.14,7.07,39.0,1.99
234,chapleau,5,CA,1587177184,54,47.84,-83.4,28.4,4.7
235,coquimbo,0,CL,1587177116,93,-29.95,-71.34,57.2,4.7
236,tiarei,99,PF,1587177184,70,-17.53,-149.33,86.0,5.82
237,burnie,99,AU,1587177185,63,-41.07,145.92,57.99,8.99
